"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050868","GO:0050868","negative regulation of T cell activation","3/171","143/23189",0.020979020979021,2.84492700282174,1.90741562308286,0.0893452182457432,0.348357451215811,0.307531360067824,"Lgals3/Tgfb1/Lgals9",3
"GO:0032233","GO:0032233","positive regulation of actin filament bundle assembly","2/171","68/23189",0.0294117647058824,3.98847609219126,2.12714376704009,0.0898527042032124,0.348357451215811,0.307531360067824,"Rapgef3/Ccn2",2
"GO:0046503","GO:0046503","glycerolipid catabolic process","2/171","68/23189",0.0294117647058824,3.98847609219126,2.12714376704009,0.0898527042032124,0.348357451215811,0.307531360067824,"Mgll/Pla2g4a",2
"GO:0050879","GO:0050879","multicellular organismal movement","2/171","68/23189",0.0294117647058824,3.98847609219126,2.12714376704009,0.0898527042032124,0.348357451215811,0.307531360067824,"Chrna1/Synm",2
"GO:0061082","GO:0061082","myeloid leukocyte cytokine production","2/171","68/23189",0.0294117647058824,3.98847609219126,2.12714376704009,0.0898527042032124,0.348357451215811,0.307531360067824,"Rigi/Tgfb1",2
"GO:0032609","GO:0032609","type II interferon production","3/171","144/23189",0.0208333333333333,2.82517056530214,1.89361748144901,0.0907756553505262,0.348357451215811,0.307531360067824,"Isg15/Lgals9/Irgm1",3
"GO:0034612","GO:0034612","response to tumor necrosis factor","4/171","230/23189",0.0173913043478261,2.35840325451309,1.78448152321576,0.0909055995983755,0.348357451215811,0.307531360067824,"Sphk1/Gbp3/Stat1/Naip2",4
"GO:0042113","GO:0042113","B cell activation","5/171","323/23189",0.0154798761609907,2.09919794325856,1.7146598429388,0.0914526530159884,0.348357451215811,0.307531360067824,"Nfatc1/Hdac9/Tgfb1/St3gal1/Nfatc2",5
"GO:0002291","GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Lgals3",1
"GO:0002361","GO:0002361","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Tgfb1",1
"GO:0002423","GO:0002423","natural killer cell mediated immune response to tumor cell","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Tgfb1",1
"GO:0002756","GO:0002756","MyD88-independent toll-like receptor signaling pathway","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Irf7",1
"GO:0006047","GO:0006047","UDP-N-acetylglucosamine metabolic process","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Uap1",1
"GO:0006828","GO:0006828","manganese ion transport","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Slc39a14",1
"GO:0006855","GO:0006855","xenobiotic transmembrane transport","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Abcc2",1
"GO:0008611","GO:0008611","ether lipid biosynthetic process","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Pla2g4a",1
"GO:0009086","GO:0009086","methionine biosynthetic process","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Mthfd2l",1
"GO:0014745","GO:0014745","negative regulation of muscle adaptation","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Mlip",1
"GO:0031293","GO:0031293","membrane protein intracellular domain proteolysis","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Tgfb1",1
"GO:0032060","GO:0032060","bleb assembly","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Mylk",1
"GO:0034333","GO:0034333","adherens junction assembly","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Vcl",1
"GO:0034374","GO:0034374","low-density lipoprotein particle remodeling","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Pla2g2e",1
"GO:0035865","GO:0035865","cellular response to potassium ion","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Mylk",1
"GO:0043301","GO:0043301","negative regulation of leukocyte degranulation","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Lgals9",1
"GO:0043922","GO:0043922","negative regulation by host of viral transcription","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Hmga2",1
"GO:0045136","GO:0045136","development of secondary sexual characteristics","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Tgfb1",1
"GO:0046504","GO:0046504","glycerol ether biosynthetic process","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Pla2g4a",1
"GO:0046618","GO:0046618","xenobiotic export from cell","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Abcc2",1
"GO:0048630","GO:0048630","skeletal muscle tissue growth","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Chrna1",1
"GO:0048672","GO:0048672","positive regulation of collateral sprouting","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Dcx",1
"GO:0060148","GO:0060148","positive regulation of post-transcriptional gene silencing","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Tgfb1",1
"GO:0070170","GO:0070170","regulation of tooth mineralization","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Tgfb1",1
"GO:0071476","GO:0071476","cellular hypotonic response","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Mylk",1
"GO:0072075","GO:0072075","metanephric mesenchyme development","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Stat1",1
"GO:0072182","GO:0072182","regulation of nephron tubule epithelial cell differentiation","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Stat1",1
"GO:0098917","GO:0098917","retrograde trans-synaptic signaling","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Mgll",1
"GO:0099541","GO:0099541","trans-synaptic signaling by lipid","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Mgll",1
"GO:0099542","GO:0099542","trans-synaptic signaling by endocannabinoid","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Mgll",1
"GO:1900244","GO:1900244","positive regulation of synaptic vesicle endocytosis","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Bcl2l1",1
"GO:1900370","GO:1900370","positive regulation of post-transcriptional gene silencing by RNA","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Tgfb1",1
"GO:1901029","GO:1901029","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Bcl2l1",1
"GO:1905671","GO:1905671","regulation of lysosome organization","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Irgm1",1
"GO:2000562","GO:2000562","negative regulation of CD4-positive, alpha-beta T cell proliferation","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Lgals9",1
"GO:2000669","GO:2000669","negative regulation of dendritic cell apoptotic process","1/171","13/23189",0.0769230769230769,10.4313990103464,2.93173331373549,0.0917581892147482,0.348357451215811,0.307531360067824,"Bcl2l1",1
"GO:0002707","GO:0002707","negative regulation of lymphocyte mediated immunity","2/171","69/23189",0.0289855072463768,3.93067209085516,2.10132761141923,0.0921030361423465,0.348357451215811,0.307531360067824,"Tgfb1/Lgals9",2
"GO:0006487","GO:0006487","protein N-linked glycosylation","2/171","69/23189",0.0289855072463768,3.93067209085516,2.10132761141923,0.0921030361423465,0.348357451215811,0.307531360067824,"St6gal1/St3gal1",2
"GO:0032613","GO:0032613","interleukin-10 production","2/171","69/23189",0.0289855072463768,3.93067209085516,2.10132761141923,0.0921030361423465,0.348357451215811,0.307531360067824,"Isg15/Lgals9",2
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","5/171","324/23189",0.0154320987654321,2.09271893726085,1.70722703739757,0.0923629676224105,0.348391209872547,0.307561162345868,"Trim12a/Trim12c/Gbp3/Stat1/Irgm1",5
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","4/171","232/23189",0.0172413793103448,2.33807219197419,1.76547624644159,0.0931089242348152,0.348391209872547,0.307561162345868,"Nfatc1/Sema3c/Tgfb1/Hmga2",4
"GO:0045621","GO:0045621","positive regulation of lymphocyte differentiation","3/171","146/23189",0.0205479452054795,2.78646959865417,1.86637305606594,0.0936651687171995,0.348391209872547,0.307561162345868,"Dusp10/Tgfb1/Lgals9",3
"GO:0001836","GO:0001836","release of cytochrome c from mitochondria","2/171","70/23189",0.0285714285714286,3.87451963241437,2.07599204420538,0.0943697700721753,0.348391209872547,0.307561162345868,"Ifi27/Bcl2l1",2
"GO:0002715","GO:0002715","regulation of natural killer cell mediated immunity","2/171","70/23189",0.0285714285714286,3.87451963241437,2.07599204420538,0.0943697700721753,0.348391209872547,0.307561162345868,"Tgfb1/Lgals9",2
"GO:0003170","GO:0003170","heart valve development","2/171","70/23189",0.0285714285714286,3.87451963241437,2.07599204420538,0.0943697700721753,0.348391209872547,0.307561162345868,"Nfatc1/Tgfb1",2
"GO:0006919","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","2/171","70/23189",0.0285714285714286,3.87451963241437,2.07599204420538,0.0943697700721753,0.348391209872547,0.307561162345868,"Stat1/Dap",2
"GO:0060135","GO:0060135","maternal process involved in female pregnancy","2/171","70/23189",0.0285714285714286,3.87451963241437,2.07599204420538,0.0943697700721753,0.348391209872547,0.307561162345868,"Ctsb/Pla2g4a",2
"GO:0061045","GO:0061045","negative regulation of wound healing","2/171","70/23189",0.0285714285714286,3.87451963241437,2.07599204420538,0.0943697700721753,0.348391209872547,0.307561162345868,"Cd109/Plat",2
"GO:0060485","GO:0060485","mesenchyme development","5/171","327/23189",0.0152905198776758,2.0735196809557,1.68508838509109,0.095121989720718,0.348391209872547,0.307561162345868,"Nfatc1/Stat1/Sema3c/Tgfb1/Hmga2",5
"GO:0045637","GO:0045637","regulation of myeloid cell differentiation","4/171","234/23189",0.0170940170940171,2.31808866896586,1.74666579263156,0.0953375744592837,0.348391209872547,0.307561162345868,"Isg15/Itgb3/Stat1/Tgfb1",4
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","5/171","328/23189",0.0152439024390244,2.06719797461133,1.67776144684958,0.0960509840723565,0.348391209872547,0.307561162345868,"Arhgap8/Dusp10/Itgb3/Tgfb1/Ccn2",5
"GO:0015909","GO:0015909","long-chain fatty acid transport","2/171","71/23189",0.028169014084507,3.81994893336628,2.05112060085026,0.0966525452400183,0.348391209872547,0.307561162345868,"Pla2g2e/Pla2g4a",2
"GO:0042440","GO:0042440","pigment metabolic process","2/171","71/23189",0.028169014084507,3.81994893336628,2.05112060085026,0.0966525452400183,0.348391209872547,0.307561162345868,"Oca2/Blvrb",2
"GO:0051148","GO:0051148","negative regulation of muscle cell differentiation","2/171","71/23189",0.028169014084507,3.81994893336628,2.05112060085026,0.0966525452400183,0.348391209872547,0.307561162345868,"Nfatc1/Nfatc2",2
"GO:0070231","GO:0070231","T cell apoptotic process","2/171","71/23189",0.028169014084507,3.81994893336628,2.05112060085026,0.0966525452400183,0.348391209872547,0.307561162345868,"Lgals3/St3gal1",2
"GO:0070542","GO:0070542","response to fatty acid","2/171","71/23189",0.028169014084507,3.81994893336628,2.05112060085026,0.0966525452400183,0.348391209872547,0.307561162345868,"Id3/Akr1c13",2
"GO:0001578","GO:0001578","microtubule bundle formation","3/171","149/23189",0.0201342281879195,2.73036618391617,1.82635763379421,0.0980698725292101,0.348391209872547,0.307561162345868,"Clxn/Dcx/Cfap100",3
"GO:0031341","GO:0031341","regulation of cell killing","3/171","149/23189",0.0201342281879195,2.73036618391617,1.82635763379421,0.0980698725292101,0.348391209872547,0.307561162345868,"Mill2/Tgfb1/Lgals9",3
"GO:0042476","GO:0042476","odontogenesis","3/171","149/23189",0.0201342281879195,2.73036618391617,1.82635763379421,0.0980698725292101,0.348391209872547,0.307561162345868,"Slc24a4/Tgfb1/Id3",3
"GO:0001542","GO:0001542","ovulation from ovarian follicle","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Pla2g4a",1
"GO:0002755","GO:0002755","MyD88-dependent toll-like receptor signaling pathway","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Irf7",1
"GO:0007343","GO:0007343","egg activation","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Plat",1
"GO:0010572","GO:0010572","positive regulation of platelet activation","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Pla2g4a",1
"GO:0010936","GO:0010936","negative regulation of macrophage cytokine production","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Tgfb1",1
"GO:0014820","GO:0014820","tonic smooth muscle contraction","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Mylk",1
"GO:0032815","GO:0032815","negative regulation of natural killer cell activation","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Lgals9",1
"GO:0035999","GO:0035999","tetrahydrofolate interconversion","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Mthfd2l",1
"GO:0043652","GO:0043652","engulfment of apoptotic cell","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Megf10",1
"GO:0045060","GO:0045060","negative thymic T cell selection","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Dock2",1
"GO:0045091","GO:0045091","regulation of single stranded viral RNA replication via double stranded DNA intermediate","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Hmga2",1
"GO:0045161","GO:0045161","neuronal ion channel clustering","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Gldn",1
"GO:0046512","GO:0046512","sphingosine biosynthetic process","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Sphk1",1
"GO:0046520","GO:0046520","sphingoid biosynthetic process","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Sphk1",1
"GO:0046689","GO:0046689","response to mercury ion","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Abcc2",1
"GO:0046886","GO:0046886","positive regulation of hormone biosynthetic process","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Egr1",1
"GO:0051610","GO:0051610","serotonin uptake","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Itgb3",1
"GO:0051917","GO:0051917","regulation of fibrinolysis","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Plat",1
"GO:0061309","GO:0061309","cardiac neural crest cell development involved in outflow tract morphogenesis","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Sema3c",1
"GO:0061762","GO:0061762","CAMKK-AMPK signaling cascade","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Irgm1",1
"GO:0097384","GO:0097384","cellular lipid biosynthetic process","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Pla2g4a",1
"GO:1901203","GO:1901203","positive regulation of extracellular matrix assembly","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Tgfb1",1
"GO:1901503","GO:1901503","ether biosynthetic process","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Pla2g4a",1
"GO:2000303","GO:2000303","regulation of ceramide biosynthetic process","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Sphk1",1
"GO:2001279","GO:2001279","regulation of unsaturated fatty acid biosynthetic process","1/171","14/23189",0.0714285714285714,9.68629908103592,2.80210776265413,0.0984594901141387,0.348391209872547,0.307561162345868,"Pla2g4a",1
"GO:0043542","GO:0043542","endothelial cell migration","4/171","237/23189",0.0168776371308017,2.28874577442199,1.71880681859595,0.0987275602495364,0.348391209872547,0.307561162345868,"Angpt4/Itgb3/Hdac9/Tgfb1",4
"GO:0045668","GO:0045668","negative regulation of osteoblast differentiation","2/171","72/23189",0.0277777777777778,3.76689408706953,2.02669760908891,0.09895100526511,0.348391209872547,0.307561162345868,"Nfatc1/Id3",2
"GO:0055008","GO:0055008","cardiac muscle tissue morphogenesis","2/171","72/23189",0.0277777777777778,3.76689408706953,2.02669760908891,0.09895100526511,0.348391209872547,0.307561162345868,"Tnnt2/Tgfb1",2
"GO:1901184","GO:1901184","regulation of ERBB signaling pathway","2/171","72/23189",0.0277777777777778,3.76689408706953,2.02669760908891,0.09895100526511,0.348391209872547,0.307561162345868,"Afap1l2/Tgfb1",2
"GO:0042593","GO:0042593","glucose homeostasis","5/171","333/23189",0.015015015015015,2.03615896598353,1.64151290212192,0.100765307791951,0.348391209872547,0.307561162345868,"Oas1g/Oas1a/Tgfb1/Rph3al/Slc39a14",5
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","5/171","333/23189",0.015015015015015,2.03615896598353,1.64151290212192,0.100765307791951,0.348391209872547,0.307561162345868,"Trim12a/Trim12c/Gbp3/Stat1/Irgm1",5
"GO:0003158","GO:0003158","endothelium development","3/171","151/23189",0.0198675496688742,2.69420239340072,1.80022706127283,0.101052383198496,0.348391209872547,0.307561162345868,"Ppp1r16b/Rapgef3/Vcl",3
"GO:0046165","GO:0046165","alcohol biosynthetic process","3/171","151/23189",0.0198675496688742,2.69420239340072,1.80022706127283,0.101052383198496,0.348391209872547,0.307561162345868,"Moxd1/Sphk1/Ephx1",3
"GO:0010972","GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","2/171","73/23189",0.0273972602739726,3.71529279820556,2.00270814030524,0.101264798094372,0.348391209872547,0.307561162345868,"Nabp1/Ccng1",2
"GO:0046513","GO:0046513","ceramide biosynthetic process","2/171","73/23189",0.0273972602739726,3.71529279820556,2.00270814030524,0.101264798094372,0.348391209872547,0.307561162345868,"Sphk1/St3gal1",2
"GO:0033500","GO:0033500","carbohydrate homeostasis","5/171","334/23189",0.0149700598802395,2.03006268165424,1.63433914206871,0.101721953872123,0.348391209872547,0.307561162345868,"Oas1g/Oas1a/Tgfb1/Rph3al/Slc39a14",5
"GO:0006836","GO:0006836","neurotransmitter transport","4/171","241/23189",0.016597510373444,2.25075829268885,1.6823075727148,0.103334117670801,0.348391209872547,0.307561162345868,"Sphk1/Itgb3/Rph3al/Bcl2l1",4
"GO:0008347","GO:0008347","glial cell migration","2/171","74/23189",0.027027027027027,3.66508613877035,1.97913796450684,0.103593575958595,0.348391209872547,0.307561162345868,"Dcx/Matn2",2
"GO:0010761","GO:0010761","fibroblast migration","2/171","74/23189",0.027027027027027,3.66508613877035,1.97913796450684,0.103593575958595,0.348391209872547,0.307561162345868,"Itgb3/Tgfb1",2
"GO:0034248","GO:0034248","regulation of amide metabolic process","2/171","74/23189",0.027027027027027,3.66508613877035,1.97913796450684,0.103593575958595,0.348391209872547,0.307561162345868,"Hsd11b1/Sphk1",2
"GO:0050805","GO:0050805","negative regulation of synaptic transmission","2/171","74/23189",0.027027027027027,3.66508613877035,1.97913796450684,0.103593575958595,0.348391209872547,0.307561162345868,"Mgll/Bcl2l1",2
"GO:0070534","GO:0070534","protein K63-linked ubiquitination","2/171","74/23189",0.027027027027027,3.66508613877035,1.97913796450684,0.103593575958595,0.348391209872547,0.307561162345868,"Trim12a/Trim12c",2
"GO:0140895","GO:0140895","cell surface toll-like receptor signaling pathway","2/171","74/23189",0.027027027027027,3.66508613877035,1.97913796450684,0.103593575958595,0.348391209872547,0.307561162345868,"Oas1g/Oas1a",2
"GO:0001649","GO:0001649","osteoblast differentiation","4/171","242/23189",0.0165289256198347,2.24145763858683,1.67329509642068,0.104501025287508,0.348391209872547,0.307561162345868,"Nfatc1/Id3/Tent5a/Trp53inp2",4
"GO:0050730","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","4/171","242/23189",0.0165289256198347,2.24145763858683,1.67329509642068,0.104501025287508,0.348391209872547,0.307561162345868,"Angpt4/Itgb3/Il6ra/Tgfb1",4
"GO:0070085","GO:0070085","glycosylation","4/171","242/23189",0.0165289256198347,2.24145763858683,1.67329509642068,0.104501025287508,0.348391209872547,0.307561162345868,"Gcnt7/B3galt5/St6gal1/St3gal1",4
"GO:0001696","GO:0001696","gastric acid secretion","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Slc26a7",1
"GO:0002069","GO:0002069","columnar/cuboidal epithelial cell maturation","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Tgfb1",1
"GO:0002679","GO:0002679","respiratory burst involved in defense response","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Dusp10",1
"GO:0003376","GO:0003376","sphingosine-1-phosphate receptor signaling pathway","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Sphk1",1
"GO:0006555","GO:0006555","methionine metabolic process","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Mthfd2l",1
"GO:0006971","GO:0006971","hypotonic response","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Mylk",1
"GO:0007216","GO:0007216","G protein-coupled glutamate receptor signaling pathway","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Trpm1",1
"GO:0009155","GO:0009155","purine deoxyribonucleotide catabolic process","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Nudt18",1
"GO:0009163","GO:0009163","nucleoside biosynthetic process","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Ak1",1
"GO:0014733","GO:0014733","regulation of skeletal muscle adaptation","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Nfatc1",1
"GO:0019321","GO:0019321","pentose metabolic process","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Dcxr",1
"GO:0030213","GO:0030213","hyaluronan biosynthetic process","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Tgfb1",1
"GO:0032308","GO:0032308","positive regulation of prostaglandin secretion","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Pla2g4a",1
"GO:0032486","GO:0032486","Rap protein signal transduction","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Rapgef3",1
"GO:0032645","GO:0032645","regulation of granulocyte macrophage colony-stimulating factor production","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Rigi",1
"GO:0033690","GO:0033690","positive regulation of osteoblast proliferation","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Itgb3",1
"GO:0034404","GO:0034404","nucleobase-containing small molecule biosynthetic process","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Ak1",1
"GO:0034638","GO:0034638","phosphatidylcholine catabolic process","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Pla2g4a",1
"GO:0039692","GO:0039692","single stranded viral RNA replication via double stranded DNA intermediate","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Hmga2",1
"GO:0042402","GO:0042402","cellular biogenic amine catabolic process","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Moxd1",1
"GO:0043383","GO:0043383","negative T cell selection","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Dock2",1
"GO:0043508","GO:0043508","negative regulation of JUN kinase activity","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Dusp10",1
"GO:0045651","GO:0045651","positive regulation of macrophage differentiation","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Tgfb1",1
"GO:0045835","GO:0045835","negative regulation of meiotic nuclear division","1/171","15/23189",0.0666666666666667,9.04054580896686,2.68489043034673,0.105111633682229,0.348391209872547,0.307561162345868,"Fbxo43",1
